Bank Number,VREFB Group,Pin Name / Function,Optional Function(s),Configuration Function,F780,F484,DQS for X8/X9 in 780 FBGA,DQS for X16/X18 in 780 FBGA,DQS for X32/X36 in 780 FBGA,DQS for X8/X9 in 484 FBGA,DQS for X16/X18 in 484 FBGA,DQS for X32/X36 in 484 FBGA
B1,  VREFB1N0,  IO,  DIFFIO_L1p,   ,   ,  G4,   ,   ,   ,   ,   ,   
B1,  VREFB1N0,  IO,  DIFFIO_L1n,   ,  C2,  G3,  DQ2L,  DQ1L,  DQ1L,   ,   ,   
B1,  VREFB1N0,  IO,   ,   ,  M9,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N0,  IO,  DIFFIO_L2p,   ,  D2,  B2,  DQ2L,  DQ1L,  DQ1L,  DQ2L,  DQ1L,  DQ1L
B1,  VREFB1N0,  IO,  DIFFIO_L2n,   ,  D1,  B1,  DQ2L,  DQ1L,  DQ1L,  DQ2L,  DQ1L,  DQ1L
B1,  VREFB1N0,  IO,  VREFB1N0,   ,  H7,  G5,   ,   ,   ,   ,   ,   
B1,  VREFB1N0,  IO,  DIFFIO_L3p,   ,  E5,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N0,  IO,  DIFFIO_L3n,   ,  E4,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N0,  IO,  DIFFIO_L4p,  nRESET,  G6,  E4,  DQ2L,  DQ1L,  DQ1L,  DQ2L,  DQ1L,  DQ1L
B1,  VREFB1N0,  IO,  DIFFIO_L4n,   ,  G5,  E3,  DQ2L,  DQ1L,  DQ1L,  DQ2L,  DQ1L,  DQ1L
B1,  VREFB1N0,  IO,  DIFFIO_L5p,   ,  H4,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N0,  IO,  DIFFIO_L5n,   ,  H3,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N0,  IO,  DIFFIO_L6p,   ,  J5,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N0,  IO,  DIFFIO_L6n,   ,  G7,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N1,  IO,  DIFFIO_L7p,   ,  E3,  C2,"  DQS2L/CQ3L,CDPCLK0","  DQS2L/CQ3L,CDPCLK0","  DQS2L/CQ3L,CDPCLK0","  DQS2L/CQ3L,CDPCLK0","  DQS2L/CQ3L,CDPCLK0","  DQS2L/CQ3L,CDPCLK0"
B1,  VREFB1N1,  IO,  DIFFIO_L7n,   ,  F3,  C1,  DQ2L,  DQ1L,  DQ1L,  DQ2L,  DQ1L,  DQ1L
B1,  VREFB1N1,  IO,  DIFFIO_L8p,   ,  F5,  D2,  DQ2L,  DQ1L,  DQ1L,  DQ2L,  DQ1L,  DQ1L
B1,  VREFB1N1,  IO,  DIFFIO_L8n,"  DATA1,ASDO",  F4,  D1,   ,   ,   ,   ,   ,   
B1,  VREFB1N1,  IO,  VREFB1N1,   ,  L5,  H7,   ,   ,   ,   ,   ,   
B1,  VREFB1N1,  IO,  DIFFIO_L9p,   ,  G4,  H6,  DQ2L,  DQ1L,  DQ1L,  DQ2L,  DQ1L,  DQ1L
B1,  VREFB1N1,  IO,  DIFFIO_L9n,   ,  G3,  J6,   ,   ,   ,  DQ2L,  DQ1L,  DQ1L
B1,  VREFB1N1,  IO,  DIFFIO_L10p,"  FLASH_nCE,nCSO",  E2,  E2,   ,   ,   ,   ,   ,   
B1,  VREFB1N1,  IO,  DIFFIO_L10n,   ,  J6,  E1,   ,   ,   ,   ,  DQ1L,  DQ1L
B1,  VREFB1N1,  IO,  DIFFIO_L11p,   ,  E1,   ,   ,  DQ1L,  DQ1L,   ,   ,   
B1,  VREFB1N1,  IO,  DIFFIO_L11n,   ,  J7,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N1,  IO,  DIFFIO_L12p,   ,  F2,  F2,  DM2L,  DM1L/BWS#1L,  DM1L/BWS#1L,  DM2L,  DM1L/BWS#1L,  DM1L/BWS#1L
B1,  VREFB1N1,  IO,  DIFFIO_L12n,   ,  F1,  F1,  DQ0L,  DQ1L,  DQ1L,  DQ0L,  DQ1L,  DQ1L
B1,  VREFB1N1,  IO,  DIFFIO_L13p,   ,  K4,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N1,  IO,  DIFFIO_L13n,   ,  K3,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N1,  IO,  DIFFIO_L14p,   ,  K7,  H8,   ,   ,   ,   ,   ,   
B1,  VREFB1N1,  IO,  DIFFIO_L14n,   ,  L6,  J8,   ,   ,   ,   ,   ,   
B1,  VREFB1N1,  IO,  DIFFIO_L15p,   ,  L8,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L15n,   ,  L7,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L16p,   ,  M8,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L16n,   ,  M7,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L17p,   ,  L4,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L17n,   ,  L3,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L18p,   ,  H6,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L18n,   ,  H5,  J5,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L19p,   ,  J4,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L19n,   ,  J3,   ,  DQ0L,  DQ1L,  DQ1L,   ,   ,   
B1,  VREFB1N2,  nSTATUS,   ,  nSTATUS,  M6,  K6,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  VREFB1N2,   ,  N8,  H5,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L20p,   ,  G2,  L8,  DQ0L,  DQ1L,  DQ1L,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L20n,   ,  G1,  K8,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L21p,   ,  M3,  J7,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L21n,   ,  K1,  K7,  DQ0L,  DQ1L,  DQ1L,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L22p,   ,  N4,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N2,  IO,  DIFFIO_L22n,   ,  N3,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  IO,   ,   ,  M4,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  IO,   ,   ,  K2,  J4,"  DQS0L/CQ1L,DPCLK0","  DQS0L/CQ1L,DPCLK0","  DQS0L/CQ1L,DPCLK0","  DQS0L/CQ1L,DPCLK0","  DQS0L/CQ1L,DPCLK0","  DQS0L/CQ1L,DPCLK0"
B1,  VREFB1N3,  IO,  DIFFIO_L23p,   ,  L2,  H2,   ,   ,   ,  DQ0L,  DQ1L,  DQ1L
B1,  VREFB1N3,  IO,  DIFFIO_L23n,   ,  L1,  H1,  DQ0L,  DQ1L,  DQ1L,  DQ0L,  DQ1L,  DQ1L
B1,  VREFB1N3,  IO,  VREFB1N3,   ,  M5,  J3,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  IO,  DIFFIO_L24p,   ,  M2,  J2,   ,   ,   ,  DQ0L,  DQ1L,  DQ1L
B1,  VREFB1N3,  IO,  DIFFIO_L24n,   ,  M1,  J1,  DQ0L,  DQ1L,  DQ1L,  DQ0L,  DQ1L,  DQ1L
B1,  VREFB1N3,  IO,  DIFFIO_L25p,   ,  P2,   ,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  IO,  DIFFIO_L25n,   ,  P1,   ,  DQ0L,  DQ1L,  DQ1L,   ,   ,   
B1,  VREFB1N3,  DCLK,   ,  DCLK,  P3,  K2,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  IO,   ,  DATA0,  N7,  K1,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  nCONFIG,   ,  nCONFIG,  P4,  K5,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  TDI,   ,  TDI,  P7,  L5,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  TCK,   ,  TCK,  P5,  L2,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  TMS,   ,  TMS,  P8,  L1,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  TDO,   ,  TDO,  P6,  L4,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  nCE,   ,  nCE,  R8,  L3,   ,   ,   ,   ,   ,   
B1,  VREFB1N3,  CLK1,  DIFFCLK_0n,   ,  J1,  G1,   ,   ,   ,   ,   ,   
B2,  VREFB2N0,  CLK2,  DIFFCLK_1p,   ,  Y2,  T2,   ,   ,   ,   ,   ,   
B2,  VREFB2N0,  CLK3,  DIFFCLK_1n,   ,  Y1,  T1,   ,   ,   ,   ,   ,   
B2,  VREFB2N0,  IO,  DIFFIO_L26p,   ,  R2,  L6,  DQ0L,  DQ1L,  DQ1L,  DQ0L,  DQ1L,  DQ1L
B2,  VREFB2N0,  IO,  DIFFIO_L26n,   ,  R1,  M6,   ,  DQ1L,  DQ1L,  DQ0L,  DQ1L,  DQ1L
B2,  VREFB2N0,  IO,  DIFFIO_L27p,   ,  U3,  M2,  DM0L,  DM1L/BWS#1L,  DM1L/BWS#1L,  DQ0L,  DQ1L,  DQ1L
B2,  VREFB2N0,  IO,  DIFFIO_L27n,   ,  U2,  M1,   ,   ,   ,   ,  DQ1L,  DQ1L
B2,  VREFB2N0,  IO,  DIFFIO_L28p,   ,  R3,  M4,  DQ1L,  DQ3L,  DQ1L,  DM0L,  DM1L/BWS#1L,  DM1L/BWS#1L
B2,  VREFB2N0,  IO,  DIFFIO_L28n,   ,  R6,  M3,   ,   ,   ,  DQ1L,  DQ3L,  DQ1L
B2,  VREFB2N0,  IO,  DIFFIO_L29p,   ,  R4,  N2,  DQ1L,  DQ3L,  DQ1L,  DQ1L,  DQ3L,  DQ1L
B2,  VREFB2N0,  IO,  DIFFIO_L29n,   ,  R7,  N1,   ,   ,   ,  DQ1L,  DQ3L,  DQ1L
B2,  VREFB2N0,  IO,  DIFFIO_L30p,   ,  T4,   ,  DQ1L,  DQ3L,  DQ1L,   ,   ,   
B2,  VREFB2N0,  IO,  DIFFIO_L30n,   ,  T3,  L7,   ,   ,   ,   ,   ,   
B2,  VREFB2N0,  IO,  VREFB2N0,   ,  T8,  M5,   ,   ,   ,   ,   ,   
B2,  VREFB2N0,  IO,  DIFFIO_L31p,   ,  U4,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N0,  IO,  DIFFIO_L31n,   ,  R5,   ,  DQ1L,  DQ3L,  DQ1L,   ,   ,   
B2,  VREFB2N0,  IO,  DIFFIO_L32p,   ,  U1,  P2,  DQ1L,  DQ3L,  DQ1L,  DQ1L,  DQ3L,  DQ1L
B2,  VREFB2N0,  IO,  DIFFIO_L32n,   ,  V4,  P1,  DQ1L,  DQ3L,  DQ1L,  DQ1L,  DQ3L,  DQ1L
B2,  VREFB2N0,  IO,  DIFFIO_L33p,   ,  V3,  R2,   ,   ,   ,  DQ1L,  DQ3L,  DQ1L
B2,  VREFB2N0,  IO,  DIFFIO_L33n,   ,  V2,  R1,  DQ1L,  DQ3L,  DQ1L,  DQ1L,  DQ3L,  DQ1L
B2,  VREFB2N1,  IO,   ,   ,  V9,  N5,   ,   ,   ,  DQ1L,  DQ3L,  DQ1L
B2,  VREFB2N1,  IO,  DIFFIO_L34p,   ,  AB2,  P4,"  DQS1L/CQ1L#,DPCLK1","  DQS1L/CQ1L#,DPCLK1","  DQS1L/CQ1L#,DPCLK1","  DQS1L/CQ1L#,DPCLK1","  DQS1L/CQ1L#,DPCLK1","  DQS1L/CQ1L#,DPCLK1"
B2,  VREFB2N1,  IO,  DIFFIO_L34n,   ,  AB1,  P3,   ,   ,   ,  DQ1L,  DQ3L,  DQ1L
B2,  VREFB2N1,  IO,   ,   ,  V1,   ,  DQ1L,  DQ3L,  DQ1L,   ,   ,   
B2,  VREFB2N1,  IO,  DIFFIO_L35p,   ,  W2,  U2,  DQ1L,  DQ3L,  DQ1L,  DM1L/BWS#1L,  DM3L/BWS#3L,  DM1L/BWS#1L
B2,  VREFB2N1,  IO,  DIFFIO_L35n,   ,  W1,  U1,  DM1L/BWS#1L,  DM3L/BWS#3L,  DM1L/BWS#1L,  DQ3L,  DQ3L,  DQ1L
B2,  VREFB2N1,  IO,  DIFFIO_L36p,   ,  W3,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N1,  IO,  DIFFIO_L36n,   ,  W4,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N1,  IO,  DIFFIO_L37p,   ,  V6,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N1,  IO,  DIFFIO_L37n,   ,  U5,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N1,  IO,  DIFFIO_L38p,   ,  Y5,  V2,   ,   ,   ,  DQ3L,  DQ3L,  DQ1L
B2,  VREFB2N1,  IO,  DIFFIO_L38n,   ,  Y6,  V1,   ,   ,   ,  DQ3L,  DQ3L,  DQ1L
B2,  VREFB2N1,  IO,  DIFFIO_L39p,   ,  V5,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N1,  IO,  DIFFIO_L39n,   ,  U6,   ,  DQ3L,  DQ3L,  DQ1L,   ,   ,   
B2,  VREFB2N1,  IO,  DIFFIO_L40p,   ,  AA7,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N1,  IO,  DIFFIO_L40n,   ,  AA6,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N1,  IO,  VREFB2N1,   ,  T7,  P5,   ,   ,   ,   ,   ,   
B2,  VREFB2N1,  IO,  DIFFIO_L41p,   ,  AA8,  N6,   ,   ,   ,  DQ3L,  DQ3L,  DQ1L
B2,  VREFB2N1,  IO,  DIFFIO_L41n,   ,  Y7,  M7,   ,   ,   ,   ,   ,   
B2,  VREFB2N1,  IO,  DIFFIO_L42p,   ,  Y4,  M8,  DQ3L,  DQ3L,  DQ1L,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L42n,   ,  Y3,  N8,   ,   ,   ,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L43p,   ,  T9,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L43n,   ,  AC2,   ,  DQ3L,  DQ3L,  DQ1L,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L44p,   ,  W8,  W2,   ,   ,   ,  DQ3L,  DQ3L,  DQ1L
B2,  VREFB2N2,  IO,  DIFFIO_L44n,   ,  AC1,  W1,  DQ3L,  DQ3L,  DQ1L,  DQ3L,  DQ3L,  DQ1L
B2,  VREFB2N2,  IO,  DIFFIO_L45p,   ,  V7,  Y2,   ,   ,   ,  DQ3L,  DQ3L,  DQ1L
B2,  VREFB2N2,  IO,  DIFFIO_L45n,   ,  AC3,  Y1,  DQ3L,  DQ3L,  DQ1L,  DQ3L,  DQ3L,  DQ1L
B2,  VREFB2N2,  IO,  DIFFIO_L46p,   ,  AD2,   ,  DQ3L,  DQ3L,  DQ1L,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L46n,   ,  AD1,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L47p,   ,  AB3,   ,  DQ3L,  DQ3L,  DQ1L,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L47n,   ,  AA4,   ,  DQ3L,  DQ3L,  DQ1L,   ,   ,   
B2,  VREFB2N2,  IO,   ,   ,  W9,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L48p,   ,  AB7,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L48n,   ,  AC7,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N2,  IO,  VREFB2N2,   ,  V8,  T3,   ,   ,   ,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L49p,   ,  AE1,  N7,   ,   ,   ,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L49n,   ,  AE2,  P7,  DQ3L,  DQ3L,  DQ1L,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L50p,   ,  AA5,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N2,  IO,  DIFFIO_L50n,   ,  AF2,  AA1,  DM3L/BWS#3L,  DM3L/BWS#3L,  DM1L/BWS#1L,  DQ3L,  DQ3L,  DQ1L
B2,  VREFB2N3,  IO,  DIFFIO_L51p,   ,  AB6,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,  DIFFIO_L51n,   ,  AB5,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,   ,   ,  AA3,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,  RUP1,   ,  U7,  V4,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,  RDN1,   ,  U8,  V3,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,  DIFFIO_L52p,   ,  AC4,  P6,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,  DIFFIO_L52n,   ,  AD3,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,   ,   ,  AD4,  T5,   ,   ,   ,  DM3L/BWS#3L,  DM3L/BWS#3L,  DM1L/BWS#1L
B2,  VREFB2N3,  IO,   ,   ,  AE3,  T4,"  DQS3L/CQ3L#,CDPCLK1","  DQS3L/CQ3L#,CDPCLK1","  DQS3L/CQ3L#,CDPCLK1","  DQS3L/CQ3L#,CDPCLK1","  DQS3L/CQ3L#,CDPCLK1","  DQS3L/CQ3L#,CDPCLK1"
B2,  VREFB2N3,  IO,  VREFB2N3,   ,  AB4,  R5,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,   ,   ,  AB8,  R6,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,  DIFFIO_L53p,   ,  AC5,  R7,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,  DIFFIO_L53n,   ,  AD5,  T7,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,  DIFFIO_L54p,   ,  AE4,   ,   ,   ,   ,   ,   ,   
B2,  VREFB2N3,  IO,  DIFFIO_L54n,   ,  AF3,   ,   ,   ,   ,   ,   ,   
B3,  VREFB3N3,  IO,  DIFFIO_B1p,   ,  AC11,  V6,   ,   ,   ,   ,   ,   
B3,  VREFB3N3,  IO,  DIFFIO_B1n,   ,  AD11,  V5,   ,   ,   ,  DM3B/BWS#3B,  DM3B/BWS#3B,  DM5B/BWS#5B
B3,  VREFB3N3,  IO,  DIFFIO_B2p,   ,  AD12,   ,   ,   ,   ,   ,   ,   
B3,  VREFB3N3,  IO,  DIFFIO_B2n,   ,  AE6,   ,  DM1B,   ,   ,   ,   ,   
B3,  VREFB3N3,  IO,  DIFFIO_B3p,   ,  AF4,  U7,  DQ1B,   ,   ,   ,   ,   
B3,  VREFB3N3,  IO,  DIFFIO_B3n,   ,  AB12,  U8,   ,   ,   ,   ,   ,   
B3,  VREFB3N3,  IO,  VREFB3N3,   ,  Y10,  Y4,   ,   ,   ,   ,   ,   
B3,  VREFB3N3,  IO,  DIFFIO_B4p,   ,  AG4,  Y3,   ,   ,   ,  DQ3B,  DQ3B,  DQ5B
B3,  VREFB3N3,  IO,  DIFFIO_B4n,   ,  AG3,   ,  DQ1B,   ,   ,   ,   ,   
B3,  VREFB3N3,  IO,  DIFFIO_B5p,   ,  AE7,   ,   ,   ,   ,   ,   ,   
B3,  VREFB3N3,  IO,  DIFFIO_B5n,   ,  AE8,   ,   ,   ,   ,   ,   ,   
B3,  VREFB3N3,  IO,  DIFFIO_B6p,   ,  AD7,  Y6,"  DQS1B/CQ1B#,CDPCLK2","  DQS1B/CQ1B#,CDPCLK2","  DQS1B/CQ1B#,CDPCLK2","  DQS1B/CQ1B#,CDPCLK2","  DQS1B/CQ1B#,CDPCLK2","  DQS1B/CQ1B#,CDPCLK2"
B3,  VREFB3N3,  IO,  DIFFIO_B6n,   ,  Y12,   ,   ,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  PLL1_CLKOUTp,   ,  AE5,  AA3,   ,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  PLL1_CLKOUTn,   ,  AF5,  AB3,   ,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  DIFFIO_B7p,   ,  AH3,  W6,  DQ1B,   ,   ,  DQ3B,  DQ3B,  DQ5B
B3,  VREFB3N2,  IO,  DIFFIO_B7n,   ,  W10,  V7,   ,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,   ,   ,  AF6,  AA4,  DQ1B,   ,   ,  DQ3B,  DQ3B,  DQ5B
B3,  VREFB3N2,  IO,  VREFB3N2,   ,  AA12,  AB4,   ,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  DIFFIO_B8p,   ,  AC12,  AA5,   ,   ,   ,  DQ3B,  DQ3B,  DQ5B
B3,  VREFB3N2,  IO,  DIFFIO_B8n,   ,  AH4,  AB5,  DQ1B,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  DIFFIO_B9p,   ,  AC10,   ,   ,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  DIFFIO_B9n,   ,  AD8,   ,  DQ1B,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  DIFFIO_B10p,   ,  AG6,   ,  DQ1B,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  DIFFIO_B10n,   ,  AB13,   ,   ,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  DIFFIO_B11p,   ,  AH6,  T8,  DQ1B,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  DIFFIO_B11n,   ,  AA13,  T9,   ,   ,   ,   ,   ,   
B3,  VREFB3N2,  IO,  DIFFIO_B12p,   ,  AB9,  W7,  DM3B/BWS#3B,  DM3B/BWS#3B,  DM5B/BWS#5B,  DQ3B,  DQ3B,  DQ5B
B3,  VREFB3N2,  IO,  DIFFIO_B12n,   ,  AD10,  Y7,  DQ3B,  DQ3B,  DQ5B,  DQ3B,  DQ3B,  DQ5B
B3,  VREFB3N2,  IO,  DIFFIO_B13p,   ,  AG7,  U9,  DQ3B,  DQ3B,  DQ5B,  DQ3B,  DQ3B,  DQ5B
B3,  VREFB3N2,  IO,  DIFFIO_B13n,   ,  Y13,  V8,   ,   ,   ,  DQ3B,  DQ3B,  DQ5B
B3,  VREFB3N2,  IO,   ,   ,  AH7,  W8,  DQ3B,  DQ3B,  DQ5B,  DQ3B,  DQ3B,  DQ5B
B3,  VREFB3N1,  IO,  DIFFIO_B14p,   ,  AC8,  AA7,  DQ3B,  DQ3B,  DQ5B,  DM5B/BWS#5B,  DM3B/BWS#3B,  DM5B/BWS#5B
B3,  VREFB3N1,  IO,  DIFFIO_B14n,   ,  AA10,  AB7,  DQ3B,  DQ3B,  DQ5B,  DQ5B,  DQ3B,  DQ5B
B3,  VREFB3N1,  IO,   ,   ,  Y14,  Y8,   ,   ,   ,  DQ5B,  DQ3B,  DQ5B
B3,  VREFB3N1,  IO,  DIFFIO_B15p,   ,  AG8,  T10,  DQ3B,  DQ3B,  DQ5B,   ,   ,   
B3,  VREFB3N1,  IO,  DIFFIO_B15n,   ,  Y15,  T11,   ,   ,   ,   ,   ,   
B3,  VREFB3N1,  IO,  VREFB3N1,   ,  AB11,  V9,   ,   ,   ,   ,   ,   
